iter	Passed	Remaining
0	56	56402
1	57	28488
2	57	19171
3	58	14498
4	58	11707
5	59	9840
6	59	8506
7	60	7501
8	61	6729
9	61	6113
10	62	5606
11	62	5178
12	63	4818
13	64	4508
14	64	4239
15	65	4003
16	65	3801
17	66	3620
18	66	3451
19	67	3300
20	67	3165
21	68	3042
22	68	2929
23	69	2826
24	70	2732
25	70	2644
26	71	2563
27	71	2487
28	72	2417
29	72	2351
30	73	2289
31	73	2233
32	74	2179
33	74	2128
34	75	2080
35	75	2033
36	76	1989
37	77	1949
38	77	1910
39	78	1873
40	78	1838
41	79	1806
42	79	1774
43	80	1744
44	80	1715
45	81	1687
46	81	1660
47	82	1635
48	82	1610
49	83	1587
50	84	1563
51	84	1542
52	85	1521
53	85	1501
54	86	1481
55	86	1462
56	87	1444
57	87	1426
58	88	1410
59	88	1393
60	89	1377
61	90	1361
62	90	1346
63	91	1331
64	91	1318
65	92	1305
66	92	1292
67	93	1276
68	93	1263
69	94	1251
70	94	1239
71	95	1228
72	95	1217
73	96	1206
74	96	1196
75	97	1185
76	97	1174
77	98	1164
78	98	1154
79	99	1144
80	100	1135
81	100	1125
82	101	1117
83	101	1109
84	102	1098
85	102	1090
86	102	1080
87	103	1072
88	103	1064
89	104	1057
90	105	1049
91	105	1042
92	106	1035
93	106	1028
94	107	1021
95	107	1014
96	108	1007
97	108	1001
98	109	995
99	109	988
100	110	982
101	110	974
102	111	968
103	111	962
104	112	956
105	112	951
106	113	945
107	113	939
108	114	934
109	114	929
110	115	923
111	115	918
112	116	913
113	116	909
114	117	903
115	117	898
116	118	893
117	118	889
118	119	884
119	120	880
120	120	875
121	121	871
122	121	865
123	121	860
124	122	856
125	122	852
126	123	848
127	123	843
128	124	839
129	124	835
130	125	831
131	125	828
132	126	824
133	127	820
134	127	817
135	128	814
136	128	810
137	129	806
138	129	802
139	130	799
140	130	796
141	131	793
142	131	789
143	132	786
144	132	783
145	133	780
146	133	777
147	134	774
148	135	771
149	135	767
150	136	764
151	136	761
152	137	759
153	137	756
154	138	753
155	138	750
156	139	747
157	139	744
158	140	741
159	140	739
160	141	736
161	141	734
162	142	731
163	143	729
164	143	726
165	144	724
166	144	722
167	145	720
168	146	717
169	146	715
170	147	713
171	147	710
172	148	708
173	148	706
174	149	704
175	149	702
176	150	699
177	151	697
178	151	694
179	152	692
180	152	688
181	152	686
182	153	684
183	153	682
184	154	680
185	154	677
186	155	675
187	155	673
188	156	671
189	157	669
190	157	667
191	158	665
192	158	662
193	159	660
194	159	658
195	160	656
196	160	654
197	161	652
198	161	651
199	162	649
200	162	647
201	163	645
202	164	643
203	164	642
204	165	640
205	165	638
206	166	637
207	167	638
208	168	639
209	169	638
210	170	636
211	170	635
212	171	634
213	172	632
214	172	630
215	173	628
216	173	626
217	174	625
218	175	624
219	176	624
220	176	622
221	177	620
222	177	619
223	178	617
224	179	617
225	179	615
226	180	613
227	181	614
228	182	613
229	183	612
230	183	612
231	184	610
232	185	609
233	185	608
234	186	606
235	187	605
236	187	604
237	188	602
238	188	600
239	189	599
240	189	598
241	190	596
242	190	594
243	191	592
244	192	592
245	192	591
246	193	590
247	194	590
248	195	590
249	196	589
250	196	587
251	197	587
252	198	586
253	199	585
254	200	584
255	200	583
256	201	581
257	201	580
258	203	580
259	203	579
260	204	578
261	205	578
262	206	577
263	207	577
264	207	575
265	208	574
266	209	574
267	209	572
268	210	571
269	210	570
270	211	569
271	212	568
272	213	567
273	213	566
274	214	566
275	215	565
276	216	564
277	217	563
278	217	562
279	218	560
280	218	559
281	219	558
282	219	557
283	220	555
284	220	554
285	221	553
286	222	551
287	222	550
288	223	549
289	224	548
290	224	547
291	225	546
292	225	545
293	226	543
294	227	543
295	227	542
296	228	540
297	229	539
298	229	538
299	230	536
300	230	535
301	231	534
302	231	532
303	232	531
304	233	530
305	233	529
306	234	528
307	234	526
308	235	525
309	235	524
310	236	524
311	237	522
312	237	521
313	238	520
314	238	519
315	239	519
316	240	517
317	241	517
318	241	515
319	242	514
320	242	513
321	243	512
322	243	510
323	244	509
324	245	509
325	245	507
326	246	506
327	246	506
328	247	505
329	248	504
330	248	502
331	249	501
332	249	500
333	250	499
334	251	498
335	251	497
336	252	496
337	252	495
338	253	494
339	254	493
340	254	492
341	255	491
342	256	491
343	257	491
344	258	490
345	258	489
346	259	487
347	259	486
348	260	485
349	261	485
350	261	484
351	262	483
352	263	482
353	263	481
354	264	480
355	264	478
356	265	477
357	265	476
358	266	474
359	266	473
360	266	472
361	267	471
362	267	470
363	268	469
364	269	468
365	269	466
366	270	465
367	270	464
368	270	463
369	271	462
370	271	461
371	272	460
372	272	458
373	273	457
374	273	456
375	274	455
376	274	454
377	275	453
378	275	451
379	276	450
380	276	449
381	277	448
382	277	447
383	278	446
384	278	445
385	279	443
386	279	442
387	280	441
388	280	440
389	281	439
390	281	438
391	282	437
392	282	436
393	283	435
394	283	434
395	283	433
396	284	432
397	285	431
398	285	430
399	286	429
400	286	427
401	287	426
402	287	425
403	287	424
404	288	423
405	289	422
406	289	421
407	289	420
408	290	419
409	290	418
410	291	417
411	291	416
412	292	415
413	292	414
414	293	413
415	293	412
416	294	411
417	294	410
418	295	409
419	295	408
420	296	407
421	297	406
422	297	405
423	297	404
424	298	403
425	299	402
426	299	401
427	300	400
428	300	399
429	300	398
430	301	397
431	301	397
432	302	396
433	302	395
434	303	394
435	303	393
436	304	392
437	304	391
438	305	390
439	305	389
440	306	388
441	306	387
442	307	386
443	307	385
444	308	384
445	308	383
446	309	382
447	309	381
448	310	380
449	310	379
450	311	378
451	311	378
452	312	377
453	312	376
454	313	375
455	313	374
456	314	373
457	314	372
458	315	371
459	315	370
460	316	369
461	316	368
462	317	367
463	317	367
464	318	366
465	318	365
466	319	364
467	319	363
468	320	362
469	320	361
470	321	360
471	321	359
472	322	358
473	322	357
474	322	356
475	323	356
