iter	Passed	Remaining
0	1	1155
1	1	975
2	2	938
3	3	884
4	4	824
5	4	783
6	5	745
7	5	735
8	6	741
9	7	745
10	8	734
11	8	717
12	9	719
13	10	708
14	10	700
15	11	688
16	11	686
17	12	681
18	13	680
19	14	686
20	15	703
21	15	697
22	16	692
23	16	686
24	17	684
25	18	698
26	19	693
27	19	688
28	20	685
29	21	679
30	21	675
31	22	672
32	22	669
33	23	665
34	23	661
35	24	658
36	25	659
37	25	655
38	26	656
39	27	653
40	27	654
41	28	657
42	29	659
43	30	667
44	31	665
45	32	667
46	32	665
47	33	671
48	34	667
49	35	667
50	35	668
51	36	669
52	37	667
53	38	665
54	38	665
55	39	663
56	40	662
57	40	661
58	41	659
59	42	663
60	42	661
61	43	662
62	45	669
63	46	672
64	46	674
65	47	676
66	48	678
67	49	682
68	50	684
69	51	682
70	52	692
71	54	698
72	54	698
73	58	733
74	59	731
75	60	735
76	61	733
77	61	729
78	62	726
79	63	725
80	63	722
81	64	720
82	64	714
83	65	712
84	65	709
85	66	708
86	67	705
87	67	703
88	68	701
89	69	699
90	69	696
91	70	694
92	70	691
93	71	689
94	72	686
95	72	683
96	73	681
97	73	679
98	74	679
99	75	677
100	75	675
101	76	673
102	77	672
103	78	672
104	79	673
105	79	671
106	80	669
107	80	667
108	81	666
109	82	664
110	82	662
111	83	660
112	83	658
113	84	657
114	85	655
115	85	652
116	86	650
117	86	649
118	87	647
119	87	645
120	88	643
121	89	641
122	89	641
123	90	639
124	91	639
125	92	638
126	92	638
127	93	639
128	94	639
129	96	644
130	97	648
131	98	649
132	99	649
133	100	649
134	101	650
135	102	650
136	103	649
137	103	648
138	104	648
139	105	646
140	106	646
141	106	643
142	107	641
143	107	640
144	108	639
145	109	639
146	110	638
147	110	638
148	111	638
149	112	638
150	113	639
151	114	638
152	115	636
153	115	636
154	116	634
155	117	633
156	117	631
157	118	629
158	118	628
159	119	626
160	119	624
161	120	622
162	121	621
163	121	621
164	122	619
165	123	617
166	123	616
167	124	615
168	124	613
169	125	611
170	125	609
171	126	608
172	126	606
173	127	605
174	128	603
175	128	602
176	129	600
177	129	599
178	130	597
179	130	595
180	131	594
181	131	592
182	132	590
183	132	589
184	133	588
185	133	586
186	134	585
187	135	585
188	136	587
189	137	588
190	138	588
191	139	587
192	140	586
193	140	585
194	141	584
195	142	583
196	142	582
197	143	581
198	144	579
199	144	578
200	145	578
201	146	577
202	147	578
203	149	583
204	150	581
205	150	580
206	151	579
207	151	578
208	152	577
209	153	576
210	153	575
211	154	573
212	155	572
213	155	571
214	156	570
215	156	569
216	157	567
217	157	566
218	158	565
219	159	564
220	159	562
221	160	561
222	160	560
223	161	558
224	161	557
225	162	555
226	162	554
227	163	553
228	163	551
229	164	550
230	164	548
231	165	547
232	165	545
233	166	544
234	167	543
235	167	543
236	168	542
237	168	540
238	169	539
239	169	537
240	170	536
241	170	535
242	171	535
243	172	534
244	173	533
245	173	532
246	174	530
247	174	529
248	175	528
249	176	529
250	177	529
251	179	532
252	180	531
253	181	533
254	182	532
255	182	531
256	183	531
257	185	532
258	185	531
259	186	531
260	187	532
261	189	532
262	190	533
263	191	532
264	192	532
265	192	532
266	193	530
267	193	529
268	194	528
269	195	527
270	195	526
271	196	525
272	196	524
273	197	523
274	198	522
275	199	522
276	199	521
277	200	520
278	201	519
279	201	518
280	202	518
281	203	517
282	203	515
283	204	514
284	204	512
285	204	511
286	205	510
287	205	508
288	206	507
289	206	506
290	207	504
291	207	503
292	208	502
293	208	500
294	209	499
295	209	498
296	210	497
297	210	496
298	211	495
299	211	494
300	212	492
301	213	492
302	213	491
303	214	490
304	214	489
305	215	488
306	215	487
307	216	486
308	216	485
309	217	483
310	217	482
311	218	481
312	218	480
313	219	479
314	220	478
315	220	477
316	220	476
317	221	475
318	222	475
319	223	474
320	224	475
321	225	474
322	226	475
323	227	474
324	230	478
325	231	477
326	232	477
327	232	476
328	233	476
329	234	475
330	234	474
331	235	473
332	236	472
333	236	471
334	237	470
335	237	469
336	237	468
337	238	467
338	238	465
339	239	465
340	240	464
341	240	463
342	241	462
343	242	462
344	243	461
345	243	460
346	244	459
347	244	458
348	245	458
349	246	457
350	246	456
351	247	455
352	247	454
353	248	453
354	248	451
355	249	450
356	249	449
357	250	448
358	250	447
359	251	446
360	251	445
361	252	444
362	252	443
363	252	442
364	253	440
365	254	439
366	254	439
367	255	438
368	255	437
369	256	436
370	256	435
371	257	434
372	257	433
373	258	432
374	258	430
375	259	429
376	259	428
377	260	428
378	260	427
379	261	426
380	261	425
381	262	423
382	262	422
383	262	421
384	263	420
385	263	419
386	264	418
387	264	417
388	265	416
389	265	415
390	266	415
391	267	414
392	267	413
393	268	412
394	268	411
395	269	411
396	270	410
397	270	409
398	271	409
399	272	408
400	273	408
401	274	408
402	274	407
403	275	406
404	276	405
405	276	404
406	277	404
407	277	403
408	278	402
409	279	401
410	279	400
411	280	400
412	281	399
413	281	398
414	282	397
415	282	396
416	283	395
